codebase,strategy,method,precision,recall,mrr,judge,gen_ms,n
formfit,naive,dense,0.15084,0.289165,0.329995,3.6,6038.66,20
formfit,naive,hybrid,0.177505,0.343335,0.541665,3.7,5414.175,20
formfit,component,dense,0.08335,0.225,0.37714499999999995,3.5,6228.780000000001,20
formfit,component,hybrid,0.13335,0.339165,0.621435,3.45,6519.015,20
formfit,ast,dense,0.22084,0.43499999999999994,0.5516650000000001,3.65,6504.175,20
formfit,ast,hybrid,0.28417499999999996,0.53083,0.712495,3.75,5746.45,20
microblog,naive,dense,0.5158349999999999,0.73751,0.80833,3.65,5306.48,20
microblog,naive,hybrid,0.40917000000000003,0.745835,0.875,3.85,5422.4800000000005,20
microblog,component,dense,0.457505,0.6833400000000001,0.7666649999999999,3.7,5518.215,20
microblog,component,hybrid,0.41667,0.729175,0.866665,3.9,4994.89,20
microblog,ast,dense,0.51417,0.854175,0.8375,3.85,5590.875,20
microblog,ast,hybrid,0.44416500000000003,0.7791750000000001,0.866665,3.85,5384.0599999999995,20
